label,text
1," chaRLOtTE, N.C. (sports NetworK) - carOlIna paNThERs  runnInG BacK STephen daviS wiLl mIss the REmAindEr Of the  seAson AFTer beINg pLaced On injured REserve sAturday."
0," PRESENtacioN, PHiLIppiNes (reuteRs) - pHILIPPiNe cOMmunIst  rebels Freed WedNesDay two sOldiers tHey had hElD AS ""PrIsonerS  Of wAr"" fOr MorE THAN Five mOnTHs, saYing tHey WANted to  reBuiLd confideNCe IN PEAcE talKs WitH the gOVeRnMenT."
3,"SAN FrANCIScO, CA - nOveMbEr 30, 2004 -ubIsoft, oNE of The World #39;s Largest vidEo game pubLisHers, tODAy ANnOuNcED iTs plans To LaUnCh the neXT iNStalLmeNT in the tOm Clancy #39;s RAInbow sixr fraNchIse For the SoNY pLayStATionr2 CoMputER eNteRtaiNment system "
1,dANIeL VettOrI sPUN New zEaland to THE bRinK of A cRuShIng viCtOrY oVer bAngLaDesh in the secoND and final test at tHe ma AZiz STadium IN ChiTTagonG today.
0,"AFP - GeOrgIan And sOUtH Ossetian Forces oVerNight AccusEd each OtHer OF TrYing To Storm the other sIDe's pOsItiOns in Georgia's bREakawAy reGion Of SoUth ossetIa, as fouR GeorgIan soldieRS wEre repoRTeD To be wounDeD."
3,hEwLEtt-PAcKard hAs sIgNed A deal To selL NeTwork AdapTers From StArt-up S2Io tHat the cOmpanies Say can TransfEr DaTa 10 tImES FAsTer thAn TodAY #39;s wIdesPrEAd StaNdarD.
1,aNnika soreNStam coulD only maNagE A leVel-par 72 on Day tHreE Of the ADt Tour chaMpIonshiP in floRiDa BuT iT Was enough to mAinTaIn a One-StrOKe leaD.
1,AP - Maria SHarapovA wIthdrew fRom Her semifinal AT The AdvaNta cHAMpIonshiPS ON saturDaY with a strainEd rigHt Shoulder.
0,"ThE govERNmenTs oF SerBia aNd the BOsniAN Serb enclaVE of BosniA-HerzeGovina have failed to bRing wAr crImes SuspecTs To the UNiTeD naTions triBunal, chIef ProsEcUtOr CArLa del pontE told the seCuritY CounCil."
2,"The nation #39;s Two larGeSt aUtomakerS On WEdNEsDaY ReportEd Weak NovemBEr sAles, buT Both eXpReSSeD CONfiDEnCE that NeW proDUCtS woULD helP thEM pICk uP momentum."
0,"kABUL, DEc 8 (AFp) - NATO-leD trOOpS iN aFGhaNIstaN wIll Not Scale BAck thEir presenCE bEFoRe parliaMEntARy electIONS IN thE WAr-torn cOuntry next sPrInG, FRENcH JunIOr fOreign MiniSteR RENAUd MUseLier SaId WedNESDay."
3,"Sony EUroPe Has LauNcHed two tInY 512mB And 1GB Mp3 plAYeRs, The nW-e95 and NW-e99 NETwOrk waLkmaN. BotH play mP3 (Sony hAs oFficIallY BIt tHE Mp3 bULlet) anD atrAC3plus coMpressEd files aNd have A SMAll BluE bAcklIt LCD sCrEen."
2,"BAnK of AmErICa Has aN oPtIOn To cUT at LEAst 4,500 joBs wHIle rEorGanizing its stRucTuRe. this iS NoT the first time When thE BaNk rEDuces jobS."
0,"COulD help tHe inTerim GOVErnmENt #39;S effoRTs to cAlm rEbel-HEld STronghOLds BEfore eleCtioNS DUE In jANUarY. coLLeAGuE, sHeikh MAhmOuD SuDani, afTEr he gOt oUt of Jail On ThuRsdAy."
0,"AfP - US SECRetAry of stATe cOLin PowElL WiLl ViSit Japan, chINa aNd south KoreA bEGInniNG nexT wEek foR tALkS on thE StalLEd efFort tO eND the imPaSse over North KOrea's nucLear ProgrAm, IraQ, TERroRism ANd oThEr Matters, the staTE depaRTmenT said."
1,"NO SPEcTATOrS WilL bE wAtchiNg iN the grouNd, bUt thE eyeS of eurOpe wIll Be trained on ROmEs oLYmPic STAdiuM ToNIght aS rEal MAdrId seEk The WIn THey ProbAbLy nEeD to AVoid a humiLiAtIng, EARly eXIT FROM The ChaMpiOns LeagUe."
1,"AP - David GReenE thrEw fOR A cArEer-high 382 yArds and two TOuchdOwNs, ThoMAS bRown rusHEd FOR 107 yaRds aNd No. 10 GeorGIA helD oFF ARkansAS 20-14."
3,AP - unIteD MiCroeleCtronIcS Corp.  #151; tHe wORld's no. 2 produceR of made-tO-ordEr chipS  #151; oN wednesday reporTED that its thIrd-qUaRtEr net pROFit mORe than DoUbLEd ON year as sHiPMeNts of cHIps foR mOBIle phoNes And oThEr gadgETS IncREased.
2,"AcCoUNTIngwEB.COm - OctObEr 06, 2004 - thE OpeNING Of A TrIaL relAtEd to ORacLE #39;s taKEover bid of peopleSoft feAtured tHe reVeLaTIon that CEO CRaig Conway WAs fireD lAst WeeK For making misleadiNg StAteMentS aBOut PeopleSoft #39;S salES."
0,"cAnadIan presS - TOKYO (AP) - JapaN's ECOnomy bAreLy GReW DURIng thE QuarTer ending SePt. 30 and iN The ApRil-JuNe pErIoD iT aCtuALLy ShRaNk insteaD of SqUeezing out sLiGht GROWTh, accOrding tO revIsEd governmeNT DAtA Released WeDnesdaY."
2,"WASHiNgtON - EmPloYeRs sTepped up hiriNg in August, ExPandIng Payrolls by 144,000 And LowerIng tHe unemPloyMent RAte to 5.4 PERCEnt."
3,"zaStRossi Writes  quot;accORdINg to tHE aNti-PHishinG worKiNG GrouP, phiShing siTes--tHe PrACtiCE Of making SiTEs that loOk and ACt lIke poPUlAR sItEs sUcH as banks In OrdEr to steal perSoNAL infoRmaTiON From cUsTomeRs--rOse FroM 543 SItes in sepTeMber to "
0,The IsRaELi Army SEaled Off GaZA Strip WeDNesdaY bY sHutTing dOwn eREZ CRossIng anD The InDuStrIal Zone And preVenTed palEStiNianS From leAVIng.
2," NeW YORK (REuters) - MOnSaNTo Co. &lt;a hREf=""HTTP://wWw.invEStor.ReUtErs.Com/FullQuOte.aspx?TiCker=mOn.n targeT=/StOCks/quiCkinFO/fULlqUote""&Gt;MOn.N&lt;/a&GT; oN WedneSdAY SAiD  the u.S. JustICe DEpartMEnt haS cloSED AN iNquiRY INTO  PoteNtial antitruST IssuEs regaRDing a keY iNgredieNt USeD iN  itS rOuNdup hErBICiDe."
3,"Geneva - WorldwiDe sALeS of iNduStrIAl RoboTS sUrGed To recoRd leVEls in the fIrSt halF of 2004 aftEr eqUIpMent PRIces fEll wHiLE laBoUr CosTs GrEw, the United NaTions EConomic CommissIon fOr EuRope saId in A RePOrt to bE reLeaSED tOdaY."
0,a prominent MexicAn jourNAlisT kNown for his repoRtS on oRGAnised  cRime Is KILleD on THe US Border.
3,"For the paSt fEw yeArs, ViruseS hAvE AttAckEd MIcrOsOft #39;s OPeRaTing SySTeM, WeB BRowser Or e-mail progrAMs sEeminglY On A WEeklY Basis."
0,"reuterS - A Paris couRT WaTcheD on friDAy a\sUrvEiLlAnce video Shot BY IslAMic miLitants plottIng tO BomB a\StrasbOurg mArKet, iN wHich a CommENtator branDs the FRencH\ciTy a modeRn-Day bAbylON Whose ResiDenTS wOUlD go to hEll."
2,HowaRD STern wilL LeAve A verY diFfereNt COmpany than the inFInItY BRoAdcAsting he fiRst jOined In 1985. The ViacOm-oWNeD radio giant starTed Out a 
0,"AFP - MicrosoFt SaId it wilL jOin WiTh IndiA's sEcond-lArGesT sOfTwarE FIrm, InFosys TecHnoloGIES, tO PRovIDe sOFtWAre aND CONsUltiNG To maNuFacTurinG, banking aNd automoBile comPanIEs."
