label,text
1,"CHARLOTTE, N.C. (Sports Network) - Carolina Panthers running back Stephen Davis will the remainder of the season after being placed on injured Saturday."
0,"PRESENTACION, Philippines (Reuters) - Philippine communist rebels freed Wednesday two soldiers they had held as ""prisoners for more than five months, saying they wanted to rebuild confidence in peace talks with the government."
3,"SAN FRANCISCO, CA - November 30, 2004 -Ubisoft, one of the world #39;s largest video game publishers, today announced its plans to launch the next in the Tom Clancy #39;s SixR franchise for the Sony PlayStationR2 computer entertainment system"
1,DANIEL VETTORI spun New Zealand the brink of crushing victory over Bangladesh in the second and final Test at the MA Aziz Stadium in Chittagong today.
0,"AFP - Georgian and South Ossetian forces overnight accused each other of trying to storm the other side's positions in Georgia's breakaway region of South Ossetia, as four soldiers were reported be wounded."
3,Hewlett-Packard has signed deal to sell network adapters from start-up S2io that the companies say can transfer data 10 times faster than today widespread standard.
1,Annika Sorenstam could only manage a level-par on day three of the Tour Championship in Florida but it was enough to maintain a one-stroke lead.
1,AP - Maria Sharapova withdrew her at the Advanta Championships on Saturday with a strained right shoulder.
0,"The governments of Serbia and the Bosnian Serb enclave of Bosnia-Herzegovina have failed to bring crimes suspects to the United Nations tribunal, Chief Prosecutor Carla Ponte told the Security Council."
2,"The nation #39;s two largest automakers Wednesday reported weak November sales, but both expressed confidence that new products would them pick up momentum."
0,"KABUL, Dec 8 (AFP) - troops in Afghanistan will not scale back their presence before parliamentary elections in the war-torn country next spring, French junior foreign Renaud Muselier said Wednesday."
3,"Sony Europe has launched two 512MB and 1GB players, the NW-E95 and NW-E99 Network Walkman. Both play MP3 (Sony has officially bit the mp3 bullet) and ATRAC3plus compressed files and have a small blue backlit LCD screen."
2,"of America has an option to cut at least 4,500 jobs reorganizing its structure. This is not the first time when the bank reduces jobs."
0,"could help the government #39;s efforts to rebel-held strongholds before elections due in January. colleague, Sheikh Mahmoud Sudani, after he got out of jail on Thursday."
0,"AFP - US Secretary of State Colin Powell will visit Japan, China and South Korea beginning next week for talks on the effort end the impasse over North Korea's nuclear program, Iraq, terrorism and other matters, the State Department said."
1,"NO SPECTATORS will be watching in the ground, but the eyes of Europe will be trained on Romes Olympic Stadium tonight as Real Madrid seek the win they need to avoid a humiliating, early exit from the Champions"
1,"AP - David Greene threw for a career-high 382 yards and two touchdowns, Thomas Brown rushed 107 yards and No. 10 Georgia held Arkansas 20-14."
3,AP - United Microelectronics Corp. #151; the world's No. 2 producer of chips #151; on Wednesday reported that its third-quarter profit more than doubled on year as shipments of chips for mobile phones and other gadgets increased.
2,"AccountingWEB.com - 06, 2004 - The opening of a trial related to Oracle takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s sales."
0,"Press - TOKYO (AP) - Japan's economy barely grew during the quarter ending Sept. 30 and in the April-June period it actually instead of squeezing out slight growth, according to revised government data released Wednesday."
2,"WASHINGTON - Employers stepped up hiring in August, expanding payrolls by 144,000 and the rate to 5.4 percent."
3,"writes quot;According to the Anti-Phishing Working Group, sites--the practice of making sites that look and act like popular sites such as banks in order to steal personal information from customers--rose from 543 sites in September to"
0,The Israeli army sealed off Gaza Strip Wednesday by shutting Crossing and the Industrial Zone and prevented Palestinians from leaving.
2,"NEW YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; Wednesday said the U.S. Justice Department has closed an inquiry into potential antitrust regarding a key ingredient used in its Roundup herbicide."
3,"Geneva - Worldwide sales of industrial robots surged to record levels in the first half of 2004 after equipment prices fell labour costs grew, the United Nations Economic Commission for Europe said a report to be released today."
0,A prominent Mexican journalist known his reports on organised crime is killed on the border.
3,"For the past years, viruses have attacked Microsoft #39;s operating system, Web browser or e-mail programs seemingly on a basis."
0,"Reuters - A Paris court watched on Friday a\surveillance video shot by Islamic militants plotting bomb a\Strasbourg market, in which a commentator brands the French\city a modern-day Babylon whose residents go to hell."
2,Howard Stern will leave a different company than the Broadcasting he first joined in 1985. The Viacom-owned radio giant started out a
0,"AFP - Microsoft said it will join with India's second-largest software firm, Infosys Technologies, provide software and consulting to manufacturing, banking automobile companies."
3,"A new is being readied to make the fastest, most detailed yet of the fleeting gamma ray bursts emanating from deep in space."
3,Individually theyve been unstoppable in their respective Theyre both legends that have survived the com burst and came out winners.
2,"NEW YORK (Reuters) - U.S. stocks ended slightly lower on Tuesday, but well above their lows, after crude retreated from record of over \$54 a barrel."
3,The Senate Judiciary is considering a copyright bill that stands at the center the file-sharing debate.
2,"MANHASSET, NY - Corp. (Santa Clara, Calif.) has taken lumps this year due to weakening market conditions and several strategic errors, but the semiconductor supplier remains loyal to its shareholders."
3,&lt;strong&gt;Letters:&lt;/strong&gt; bulging postbag up its secrets
0,- American economist Jeffrey Sachs\has a novel way to tackle African Shower more aid on\the world's poorest continent.
3,"Ivan, Frances and Charley delivered three staggering blows the Gulf Coast and Florida, well as Caribbean island nations, all in just five weeks."
1,United are back the title race after bringing Arsenal #39;s long unbeaten run to a grisly end in the Manchester rain. Ruud van Nistelrooy erased the misery of his penalty miss in last season fixture by slotting a second-half spot-kick past Jens Lehmann.
3,"Scott McGregor, former head of Royal Philips semiconductor division, will replace Alan Ross, who to retire."
0,engineering student Roozbeh Rahimi reflects a common sentiment among Iranians when he expresses hope that this famous tourist city will gain soon for its nuclear technology.
2,REDWOOD Calif. Investors to bet today that most PeopleSoft shareholders will back Oracle #39;s nine-point-two (b) billion-dollar takeover bid for its bitter rival.
0,Premier Yu Shyi-Kun hopes economic to the mainland will guarantee peace. If quot;Taiwan has to have to ability to defend itself quot;.
1,Indianapolis' to New England in the A.F.C. championship game in January will have an impact on officiating the N.F.L. begins the 2004 season Thursday night.
2,"European leaders have making false claims a commercial-aircraft trade dispute pitting Boeing Co. (BA.N: Quote, Profile, Research) against its Europe-based rival Airbus, a US senator close to Boeing said on Thursday."
1,Liverpool captain Steven Gerrard believes he ready to make his against Middlesbrough at the weekend following a two-month injury lay-off.
0,JERUSALEM (Reuters) - Israel's parliament took security steps Wednesday for vote next week on a Gaza pullout plan expected to spark Jewish settler protests and heighten death threats against Prime Minister Ariel Sharon.
1,Bellion scored 19 seconds after the opening kickoff as Manchester United #39;s backup team edged Arsenal #39;s youngsters 1-0 on Wednesday to reach the semifinal of English League Cup.
2,"The Senate cleared a path on Sunday for a bill to hand out about \$140 billion in tax breaks, but it was blocked a final vote by a fight over a provision aimed at helping reservists on duty in Iraq."
3,"Reuters - Fears of a new El Nino, a phenomenon\that brings weather patterns, are unfounded despite\unusual ocean temperatures which often herald the devastating\weather anomaly, the Meteorological Organization said\Thursday."
0,"Ayman al- Zawahiri, second in command of al-Qaida, said last night the US faced defeat in Iraq Afghanistan. In a videotape broadcast by the Arab satellite television station al-Jazeera, he said: quot;The"
3,"A leading Japanese electronics is developing memory that can be used to make cashless payments, open locks and read identification with a simple flick."
1,"Britain #39;s Amir Khan, who looked so impressive in winning the 132-pound championship at the Junior International Invitational Boxing Championships here last summer, has a chance for an Olympic gold medal the lightweight division today."
2,"NEW YORK, September 22 (newratings.com) - A witness in the first Enron criminal trial, and a former executive at the company, testified that she believed that the Enron executives now on trial were involved in an to hide an illicit deal"
1,ROME : Juventus extended their lead at the top of Serie A six points after they scraped a 1-0 home win over Fiorentina and closest rivals AC Milan were to a goalless draw at Brescia.
3,quot;NVIDIA and Intel Corporation announced that the companies have signed a patent cross-license agreement spanning multiple product lines and product generations.
2,"Aircraft maker Airbus insisted on Thursday had no intention of taking sides in a Microsoft antitrust case, even though it filed a brief in an EU on the software giant #39;s side."
0,"Producer prices surged 1.7 in October, their sharpest monthly in nearly 15 years."
3,"World - will provide broadband-to-phone adapters and, eventually, Wi-Fi equipment."
3,Oracle target adds \$2.6 million to after tax adjustment related to ex-CEO's severance package.
0,"KABUL -- Two US soldiers died and another was injured when a bomb ripped through their in southern Afghanistan yesterday. The troops attacked near Deh Rawood, a town 400 km southwest of Kabul where"
1,HEARTS UEFA Cup adventure may have been derailed in Rotterdam but coach Craig Levein can take comfort from the fact he has three more games to get back track.
1,"For years, Shawsheen Tech and Greater Lowell have battled for William J. Collins Cup Thanksgiving Day."
3,"The Java Studio Enterprise 7 platform, available offers a collaboration feature called Code-Aware that allows distributed teams of developers in different buildings and different work together on projects, according to Sun."
3,"Nokia has forecast that smartphone shipments worldwide are expected to increase to million by 2008, up from 23 million this year, according to Anssi Vanjoki, executive vice president and general manager of multimedia at Nokia."
2,"CONSUMER goods maker Colgate-Palmolive said today it would cut about 12 per cent of its 37,000-person work force and close a third of its worldwide as part a four-year restructuring."
0,"deputy leader of Malaysia, Anwar Ibrahim, has returned home after two months overseas, ahs pledged to fight on for reform in Malaysia."
3,"Internosis Inc., an information technology company in Arlington, plans to move its headquarters to in October. The relocation will bring 170 to Prince George's County."
3,Customers Sprint Corp. and SBC Communications Inc. will be able to use both companies' wireless Internet connections with hassle under a reciprocal deal announced Friday.
0,"(Reuters) - The determination of North Korea to develop nuclear arms could harden after President Bush and his rival, Senator John Kerry, clashed over how to proceed with six-party talks on Pyongyang's analysts said."
2,"AP - The Dutch supermarket retailer Ahold, to streamline global operations and reduce debt, said it will sell its holdings in Spain to Permira Funds for about #36;849 million."
3,"Add America Online Inc. to the growing list of companies and organizations a proposal from Microsoft Corp. AOL cited quot;tepid support quot; for Microsoft #39;s so-called Sender ID technology, which"
0,"A ""miracle baby"" was the victim of child traffickers financial greed, a judge rules."
3,A coalition of private citizens and local elected officials in New Jersey to file a lawsuit to the state's use of electronic voting machines.
1,"Brandon Backe wasn #39;t pleased when the Devil for the 2001 season, switched the minor-leaguer from outfield to pitcher. Considering how it worked out, Backe should give Bay a big thumbs up."
0,"Afghanistan #39;s interim President Hamid Karzai has left his heavily fortified in Kabul for his first election rally, in the last week of campaigning, this Saturday #39;s first ever direct elections."
3,The image of a blurry red ball near a star just might be the first picture ever snapped of a planet outside our solar an astronomer who helped find the object said on Monday.
1,Reds general manager Dan O #39;Brien said Sunday what he has hinted at the last month so: Dave Miley and his staff will be back for 2005.
1,"AP - Calling UNLV ""a gold mine,"" Mike Sanford took over as coach of the Runnin' Rebels on Monday after two years as coordinator at Utah."
2,"Next week, the FCC will likely the rules on unbundled networks largely in ways favorable to the bells."
0,"Russian President Vladimir Putin yesterday rejected a recommendation of a United Nations panel on expanding the UN Security Council, saying any reform would be one-sided if new members did not veto power."
2,"Britain #39;s biggest airport operator BAA posted a 16 percent jump first-half earnings on Tuesday, meeting expectations as cheap airfares and economies drove up passenger numbers."
3,Ziff Davis - Panelists SoftSummit point to emerging alternatives to licensing but say the transition won't be easy.
0,"South African President Mbeki left Ivory Coast #39;s rebel town of Bouake after talks Sunday, saying mediators would prepare proposals end the crisis in the world #39;s top cocoa grower."
2,The company has no further expansion plans after buying a Chinese website. Also: Virgin joins quest for a better iPod hellip;. PeopleSoft makes promise that Oracle will live up and more.
1,"The teams that shared the Pac-10 women #39;s basketball title last season -- Stanford and Arizona -- are primed to share it again, according the annual poll released at Pac-10 media day Tuesday at HP Pavilion in San Jose."
0,"Roadside killed four American soldiers in Baghdad, the US command said Wednesday, as US and Iraqi troops stepped up pressure on Sunni insurgents before this week #39;s start of the Islamic holy month Ramadan."
3,"In April Christian activist announced a summer 2004 expedition to search for Noah's ark. The quest didn't happen, now critics are questioning the project's credibility."
3,"YORK (Reuters) - number of personal computers worldwide is expected to double to about 1.3 billion by 2010, driven by explosive growth in emerging markets such as China, Russia and India, according to a report released on Tuesday by Forrester Research Inc."
1,"Carmelo Anthony scored 30 points and Kenyon added 24 points and rebounds, helping the Denver Nuggets hold off the Toronto Raptors 112-106 Wednesday night."
1,"In and professional adjectives, the president, the athletic director and the no-longer-the-football-coach took turns announcing a University of Florida firing Monday that was surprising only for coming sooner rather than later."
3,"Aoraki Mt Cook Ski Planes and New Zealand Online are turning their backs on Microsoft #39;s Internet Both companies are among the early adopters of Firefox, a free quot;open source quot; Web browser."
