label,text
1,"CHARLOTTE, N.C. (Sports Network) - Carolina Panthers running back Stephen Davis the remainder of the season after being placed injured reserve Saturday."
0,"PRESENTACION, Philippines - Philippine communist freed Wednesday two soldiers they had held as ""prisoners of war"" for than five months, saying they wanted to rebuild confidence in peace talks with the government."
3,"SAN FRANCISCO, November 30, 2004 -Ubisoft, one of the world #39;s video game publishers, today announced its plans to launch the next installment in the Tom Clancy #39;s Rainbow SixR franchise for the Sony PlayStationR2 computer entertainment system"
1,DANIEL VETTORI spun New Zealand to the brink a crushing victory over the second and final Test at the MA Aziz Stadium in Chittagong today.
0,"AFP - Georgian and South Ossetian forces overnight accused each other of trying to storm other side's positions Georgia's breakaway region of South Ossetia, as four Georgian soldiers were reported be wounded."
3,has signed a deal to sell network adapters from start-up S2io that the companies say can transfer 10 faster than today #39;s widespread standard.
1,Annika Sorenstam could only manage a level-par 72 on three of the ADT Tour Championship in but it was enough to maintain one-stroke lead.
1,AP Sharapova withdrew from her semifinal at the Advanta Championships Saturday with a strained right shoulder.
0,"The governments of Serbia the Bosnian enclave of Bosnia-Herzegovina have to bring war crimes suspects to the United Nations tribunal, Chief Prosecutor Carla Del Ponte told the Security Council."
2,"The nation #39;s two largest automakers on Wednesday reported weak November sales, both expressed confidence that new would them pick up momentum."
0,"KABUL, Dec 8 (AFP) - NATO-led troops in will not scale back their before parliamentary elections in the country next spring, French junior foreign minister Renaud Muselier said Wednesday."
3,"Sony Europe has launched two tiny 512MB and 1GB MP3 players, the NW-E95 and Network Walkman. Both play MP3 (Sony has officially bit the mp3 bullet) and ATRAC3plus compressed files and have blue backlit LCD screen."
2,"Bank of has an to cut at least 4,500 jobs reorganizing its structure. This is not the first time when the bank reduces jobs."
0,"could help the interim #39;s efforts to calm rebel-held strongholds before elections in January. colleague, Sheikh Mahmoud Sudani, after he out of jail on Thursday."
0,"AFP - US Secretary State Colin Powell will visit Japan, China and South Korea beginning next week for talks on the stalled effort to the impasse North Korea's nuclear program, Iraq, terrorism and other matters, the State Department said."
1,"NO SPECTATORS will be watching in the ground, but the eyes of Europe will on Romes Olympic Stadium tonight as Real Madrid seek the win they probably to avoid a humiliating, early exit from the Champions League."
1,"AP David Greene threw for a career-high 382 yards and touchdowns, Thomas Brown rushed for 107 and No. 10 Georgia held off Arkansas 20-14."
3,- United Microelectronics Corp. #151; the world's No. 2 producer of made-to-order chips #151; on Wednesday reported that third-quarter net profit more than doubled year as shipments of chips for mobile phones and other gadgets increased.
2,"AccountingWEB.com - October 06, 2004 - The opening of trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired week making misleading statements about PeopleSoft #39;s sales."
0,"Canadian - TOKYO (AP) - Japan's economy barely grew the quarter ending Sept. 30 and in the April-June period it actually shrank instead of squeezing slight growth, according to revised government data released Wednesday."
2,"- Employers up hiring in August, expanding payrolls by 144,000 and lowering the unemployment rate 5.4 percent."
3,Zastrossi writes quot;According to the Anti-Phishing Working phishing sites--the practice of making sites that look and act like popular sites such as banks in order to steal personal information from 543 sites in September to
0,The Israeli army sealed off Gaza Strip Wednesday by down Erez Crossing and Industrial Zone and Palestinians from leaving.
2,"NEW YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said U.S. Justice Department has closed an into potential antitrust issues regarding a key ingredient used its Roundup herbicide."
3,"Geneva - Worldwide sales of industrial robots surged to record levels in the first half of after equipment prices fell while costs grew, the United Nations Economic Commission for Europe said a report to be released today."
0,prominent Mexican journalist known for his reports on organised crime is killed the border.
3,"For the past few viruses have Microsoft #39;s operating system, Web browser or e-mail programs seemingly on a basis."
0,"Reuters - A court watched on Friday a\surveillance video shot by Islamic militants plotting to a\Strasbourg market, which a commentator brands the French\city a modern-day Babylon whose residents would go to hell."
2,Stern will leave a very different company than the Infinity he first joined in 1985. The radio giant started out a
0,"AFP - Microsoft said it will join with India's second-largest software firm, Technologies, to provide software and consulting to banking and companies."
3,"A new spacecraft is being to make the fastest, most detailed study yet of the fleeting gamma bursts emanating from deep space."
3,Individually theyve been unstoppable in their respective industries. Theyre both legends have survived the dot com and came winners.
2,"NEW YORK stocks ended slightly lower on Tuesday, but well above their lows, after crude oil retreated from a record of over \$54 a barrel."
3,Senate Judiciary Committee is considering a bill that stands at the center the file-sharing debate.
2,"MANHASSET, NY - Intel Corp. (Santa Clara, Calif.) has taken some lumps year due to weakening market conditions and several strategic errors, but the semiconductor supplier remains loyal its"
3,&lt;strong&gt;Letters:&lt;/strong&gt; The postbag its secrets
0,Reuters economist Jeffrey Sachs\has a novel way to African poverty: Shower more aid on\the world's poorest continent.
3,"Ivan, Frances and Charley delivered three blows to Coast and Florida, as well as Caribbean island nations, all in just five weeks."
1,are back in the title race after bringing Arsenal #39;s long unbeaten to grisly end in the Manchester rain. Ruud van Nistelrooy erased the misery of his penalty miss in last season #39;s fixture by slotting a second-half spot-kick past Jens Lehmann.
3,"Scott McGregor, former head of Royal Philips semiconductor division, will Alan Ross, plans to retire."
0,Electrical engineering student Roozbeh Rahimi reflects a common sentiment among when he expresses hope this famous tourist will gain fame soon for its nuclear technology.
2,"REDWOOD SHORES, Calif. Investors to bet that most PeopleSoft shareholders back Oracle #39;s nine-point-two (b) billion-dollar takeover bid for its bitter rival."
0,"Premier Yu Shyi-Kun ties the mainland will guarantee peace. If not, quot;Taiwan has to have to ability to defend itself quot;."
1,Indianapolis' to New England in the A.F.C. championship game in January will have an impact on officiating as the N.F.L. begins 2004 season Thursday
2,"European leaders been making false claims in a commercial-aircraft trade dispute pitting Boeing Co. (BA.N: Quote, Profile, Research) against its Europe-based Airbus, a US senator close to Boeing said on"
1,Liverpool captain Steven Gerrard believes he is ready make his comeback against Middlesbrough at the weekend following two-month lay-off.
0,JERUSALEM (Reuters) - Israel's parliament took extraordinary security steps Wednesday for a vote next a Gaza pullout plan expected to spark Jewish settler and heighten death threats against Prime Minister Ariel Sharon.
1,David Bellion scored 19 seconds after the kickoff as Manchester #39;s backup team edged Arsenal #39;s youngsters 1-0 on Wednesday to reach the semifinal of English League Cup.
2,"The Senate cleared a path on Sunday for a bill to hand out about \$140 in corporate tax breaks, but it was from a final vote by a fight over a provision aimed at helping reservists duty in Iraq."
3,"Reuters - Fears a new El Nino, a phenomenon\that brings extreme weather patterns, despite\unusual ocean temperatures which often herald the devastating\weather anomaly, the World Meteorological Organization said\Thursday."
0,"Ayman al- Zawahiri, second in command of al-Qaida, said last night that the faced defeat in Iraq Afghanistan. In a videotape broadcast the Arab satellite television station al-Jazeera, he said: quot;The"
3,"leading Japanese electronics is developing memory cards that can be used to make cashless payments, open locks and read identification with a flick."
1,"Britain #39;s Amir Khan, who looked impressive in the 132-pound championship at the Junior International Invitational Boxing Championships here last summer, has a chance for an Olympic gold medal in the lightweight division today."
2,"NEW YORK, September 22 (newratings.com) - A witness first Enron criminal trial, and a former executive at the company, testified today that she believed that the Enron executives now on trial were in an effort to hide an illicit deal"
1,ROME : Juventus extended their lead at the of Serie A to six points after they scraped a 1-0 home win over Fiorentina and closest rivals AC were held to a goalless draw at
3,"quot;NVIDIA and Intel Corporation announced that companies have signed a broad, multi-year patent cross-license spanning multiple product and product generations."
2,"Aircraft maker Airbus insisted on Thursday it had no intention of taking sides a Microsoft antitrust case, though it filed brief in an EU court on the software giant #39;s side."
0,"Producer prices 1.7 percent October, their monthly increase in nearly 15 years."
3,"PC World - Linksys provide broadband-to-phone and, eventually, Wi-Fi"
3,Oracle target adds \$2.6 to bottom line after tax to ex-CEO's severance package.
0,"KABUL -- Two US soldiers died and another was injured when a bomb ripped through their patrol in southern Afghanistan The troops were near Deh Rawood, a town 400 km southwest of Kabul"
1,HEARTS UEFA Cup adventure may have been derailed in Rotterdam but coach Craig Levein can comfort the fact has three more games to get it back on track.
1,"For years, Shawsheen Tech and Greater Lowell have battled for the J. Collins Thanksgiving Day."
3,"The Java Studio Enterprise 7 platform, offers a collaboration feature Code-Aware that allows distributed teams of developers in different buildings and different continents work together on projects, according to Sun."
3,"Nokia has forecast that smartphone shipments worldwide are expected to increase to 238 million units by 2008, up from 23 this year, according to Anssi executive vice president and general manager multimedia at Nokia."
2,"CONSUMER goods maker Colgate-Palmolive today it would cut about 12 per cent of its 37,000-person force and close a third its factories worldwide as part of a four-year restructuring."
0,"Former deputy leader of Malaysia, Anwar Ibrahim, has home after two months and ahs pledged to fight on for in Malaysia."
3,"Internosis Inc., an information technology company in Arlington, plans to move its to Greenbelt October. The relocation will bring jobs to Prince George's County."
3,Customers of Sprint Corp. and SBC Inc. will able to use both wireless Internet connections with less hassle under a reciprocal deal announced Friday.
0,"SEOUL - The determination North Korea to develop nuclear arms could harden after President Bush and his rival, Senator John Kerry, clashed over how to proceed with six-party on Pyongyang's ambitions, analysts said."
2,"AP - The Dutch supermarket retailer Ahold, seeking to global operations and debt, said Sunday it will sell its holdings in Spain to Permira Funds about #36;849 million."
3,"Add America Inc. the growing list of companies and organizations shunning a spam-fighting proposal from Microsoft AOL cited quot;tepid support quot; for Microsoft #39;s so-called Sender ID technology, which"
0,"baby"" was the victim child traffickers motivated by financial greed, a judge rules."
3,coalition of private citizens and local elected in New Jersey plan to file a lawsuit to block the state's use of electronic machines.
1,"Brandon Backe wasn #39;t pleased when the Devil Rays, for the 2001 season, switched the minor-leaguer from outfield to pitcher. Considering it worked out, should give Tampa a big thumbs up."
0,"Afghanistan #39;s interim President Karzai has left his heavily fortified in Kabul for his first rally, in the last week of campaigning, for this Saturday #39;s first ever direct elections."
3,"The image of a blurry red ball near a failed star just might be the first picture ever snapped of planet outside our solar system, an astronomer who helped the object on Monday."
1,Reds general manager Dan O #39;Brien said what he hinted at for the last or so: Dave Miley and his staff will be back for 2005.
1,"AP - Calling UNLV ""a gold mine,"" Mike Sanford took over as of Runnin' Rebels on Monday after two years offensive coordinator at high-scoring Utah."
2,"Next week, will likely change the rules on unbundled largely in ways favorable to the Regional bells."
0,"Russian President Vladimir Putin yesterday rejected a key recommendation of a United Nations on expanding the UN Security Council, any reform would be if new members did not have veto power."
2,Britain #39;s biggest airport operator BAA posted a 16 percent jump in first-half earnings on meeting expectations cheap airfares stronger economies drove up passenger numbers.
3,Ziff Davis Panelists at SoftSummit point to alternatives to perpetual licensing but say the transition won't easy.
0,"South African President Thabo Mbeki Ivory Coast #39;s rebel town of Bouake after talks Sunday, saying mediators would prepare proposals to the crisis in the #39;s top cocoa grower."
2,The company has further expansion plans after buying a Chinese website. Also: Virgin joins quest for a better iPod hellip;. PeopleSoft makes promise that Oracle will up to and more.
1,"The two teams that shared the Pac-10 women #39;s basketball title last -- Stanford and Arizona -- are to share it again, according to annual poll released at Pac-10 media day Tuesday at HP Pavilion in San Jose."
0,"Roadside bombings four American soldiers in the US command said Wednesday, as US and Iraqi troops stepped up pressure on Sunni insurgents before this week #39;s start the Islamic holy month of Ramadan."
3,"April a activist announced a summer 2004 expedition to search for Noah's ark. The quest didn't happen, and now critics questioning the project's credibility."
3,"NEW YORK - The number of personal computers worldwide is expected double to about 1.3 billion by 2010, driven by explosive growth in emerging markets such as China, Russia and India, according to a report released on Tuesday Forrester Research Inc."
1,"Anthony scored 30 points and Kenyon Martin added 24 and 16 rebounds, helping the Denver Nuggets hold off the Toronto Raptors Wednesday night."
1,"somber tones and professional adjectives, the president, the athletic and the no-longer-the-football-coach took turns announcing a University of Florida firing Monday that was surprising only coming sooner rather than later."
3,"Aoraki Mt Cook Ski and New Zealand Tourism Online are turning their backs on Microsoft #39;s Explorer. companies are among the early adopters of Firefox, a free quot;open source quot; Web browser."
2,"Starbucks (SBUX.O: Quote, Profile, Research) on said its chief executive, Smith, will retire next year, surprising investors, who sent the coffee shop chain #39;s shares lower in after-hours trading."
3,The By Curt
3,"This service leverages new Windows Media 10 technologies to enable Napster subscribers to download music to portable devices, technology"
0,HARARE (Reuters) - Zimbabwe President Robert Mugabe called for unity on Thursday amid rare public jostling within his ruling party over will eventually succeed the controversial leader.
1,"Donetsk, Ukraine, Oct. 20 -- Shakhtar Donetsks Romanian teenage forward Ciprian believes his sides strong team spirit will them beat Celtic twice in the UEFA League."
2,Brothers Holdings Inc. is close to settling a class action for \$220 million from allegations that it colluded with other brokerages to mislead Enron Corp.
0,MPs have resumed a debate on Prime Minister Ariel Sharon #39;s disengagement which is expected to culminate a historic vote in favour of a pull-out of troops and settlers from the Gaza Strip.
3,"Cisco Systems is accelerating its push the SMB market with the launch this week of entry-level switching modules, an aggregation switch and a Web-based management tool that customers gain easier access to high-level features."
2,quot;Apple has invested heavily in technology edit pictures. Not having a portable device to show seemed an obvious oversight that would be corrected once the of the displays
0,"ISLAMABAD: As the second round of expert-level talks on nuclear confidence building measures (CBMs) between Pakistan India starts today, the government says that the recent coming from New Delhi are quot;disturbing and sound quot;paranoid quot;."
2,"Attorney General Jim Petro is Best Buy, alleging retailer has engaged in unfair and deceptive business practices."
3,"quot;VeriSign #39;s are deficient, quot; Judge Howard Matz wrote 16-page decision setting aside the antitrust claims against ICANN."
3,"MacCentral - Apple has improved the services offered to subscribers .Mac. Previously, the amount of storage for a basic .Mac account was 100MB, with a maximum of 15MB for e-mail. The service's base online storage has been increased to 250MB, e-mail service has been enhanced, and the cost of upgrading has been reduced. .Mac's basic subscription price remains the same US #36;99.95 per"
1,"AP - The infield at Fenway Park was covered a dirty white tarp on a dreary day. Unless the Boston Red Sox start winning soon, the gloom will last all winter. The Red Sox returned home Thursday after losing the first two of the AL championship series to the Yankees in New York. As its workout began, Boston announced ace Curt Schilling's ankle will prevent him from pitching Game 5 and perhaps the rest of the postseason."
0,and leaders are sharply odds over the country's election crisis.
3,"today, new users of Microsoft #39;s Outlook and Outlook won #39;t be able to view Hotmail emails for free. The company has announced that in future the service will only be available to of the MSN premium services costing \$19."
1,The Baltimore Ravens could be without one of their main offensive weapons up to a Ravens coach Brian Billick on Monday that two-time Pro Bowl tight end Todd Heap could miss two to four weeks with a severely sprained right ankle.
0,"AFP - US Democratic presidential candidate John Kerry will switch to macho politics when he makes an atypical hunting to rural Ohio in bid to woo traditionalist male voters, while President George W. Bush Catholics in Pennsylvania less than two week before election day."
0,"COLUMBIA, S.C. - A hurricane watch was issued for the South Carolina coast Saturday as forecasters predicted Storm would make landfall near Charleston on night..."
0,"WASHINGTON - The Senate late Sunday resolved a delaying passage of a sweeping corporate tax bill and spending bills for disaster relief and security, clearing the way for senators to adjourn Monday to hit the campaign trail. The agreement removed parliamentary roadblocks thrown up by Sen..."
0,"KATMANDU, Nepal The Nepali capital was largely cut from the rest the country on Wednesday after Maoist rebels threatened to attack any vehicles traveling on main roads, in a virtual of Katmandu to press their demands for the release of ..."
1,AMSTERDAM Leontien Zijlaard-Van won the first medal for the Netherlands at the Athens Olympic Games on Wednesday.
2,"The Dow Jones industrial average fell 38.86, or 0.4 percent, to The Standard amp; Poor #39;s index was down or 0.1 percent, at 1,134."
1,The Steelers have all the ingredients to make run for their fifth Super Bowl title the NFC trots out its weakest of challengers in memory.
1,The Williams team a sigh of relief after Juan Pablo Montoya victory in the Brazilian Grand Prix. The team finished fourth in the constructors standings but technical Sam Michael was full of praise for the Colombian #39;s performance.
3,"Investor's Business - With Philadelphia's recent proposal to a citywide broadband wireless network, will there be brotherly love between the city and its broadband providers?"
3,"The Internet is only in early adolescence with a raft of improvements on the horizon, and capitalists who helped fund the early boom are"
3,"WASHINGTON (Reuters) - VeriSign Inc. HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=VRSN.O qtype=sym infotype=info qcat=news""&gt;VRSN.O&lt;/A&gt; and a children's safety group unveiled a new technology on Thursday that said make it easier for children to avoid child predators online."
0,The International Atomic Energy's 35-nation board of governors passed a resolution calling for country to suspend uranium enrichment activities that could contribute to fuel for a nuclear bomb.
1,"Electronic Arts announced an exclusive licensing relationships with the National League PLAYERS INC develop, publish and distribute interactive football games."
1,Sebastian Sainsbury Leeds United chiefs they face the choice of accepting his 25million bid or selling Elland Road.
2,General Motors (GM) Chinese partner Shanghai Automotive Industry Corp (SAIC) on Saturday signed a joint development and commercialization agreement on and cell
0,Reuters - A young mother\sentenced to death by stoning for having sex outside marriage\was acquitted and discharged an Islamic appeals court
2,"Airbus plans to challenge Boeing Co. by offering new aircraft early as year-end, its chief executive says. The Toulouse, France-based plane maker is quot;reflecting quot; on whether introduce an all-new plane"
1,TORONTO (Reuters) - of saving the National Hockey League season all but vanished Tuesday players and team owners rejected proposals to end the dispute.
0,"The three New Zealand judges presiding over sexual assault cases on Island have handed down their verdicts in Adamstown, finding five the men charged guilty of sex crimes."
2,"Shareholders in Kidde, the fire protection group, have indicated they would be prepared out if United Technologies Corporation (UTC), the US conglomerate"
0,"NATO will send military trainers to Iraq before the end the year in response to appeals by Iraqi leaders speedy action, US to NATO Nicholas Burns said today."
