label,text
1,"CHARLOTTE, N.C. (Sports Network) - Carolina Panthers running back Stephen Davis will miss"
0,"PRESENTACION, Philippines (Reuters) - Philippine communist rebels freed Wednesday two soldiers they had held as ""prisoners of war"" for more than five months,"
3,"SAN FRANCISCO, CA - November 30, 2004 -Ubisoft, one of the world #39;s largest video game publishers, today announced its plans to launch the next installment in the Tom"
1,DANIEL VETTORI spun New Zealand to the brink of a crushing victory over Bangladesh in the
0,AFP - Georgian and South Ossetian forces overnight accused each other of trying to storm the other side's positions in Georgia's breakaway region
3,Hewlett-Packard has signed a deal to sell network adapters from start-up S2io that the companies
1,Annika Sorenstam could only manage a level-par 72 on day three of the ADT Tour
1,AP - Maria Sharapova withdrew from her
0,The governments of Serbia and the Bosnian Serb enclave of Bosnia-Herzegovina have failed to bring war crimes suspects to the
2,"The nation #39;s two largest automakers on Wednesday reported weak November sales, but"
0,"KABUL, Dec 8 (AFP) - NATO-led troops in Afghanistan will not scale back their presence before parliamentary elections in the"
3,"Sony Europe has launched two tiny 512MB and 1GB MP3 players, the NW-E95 and NW-E99 Network Walkman. Both play MP3 (Sony has officially bit the mp3 bullet)"
2,"Bank of America has an option to cut at least 4,500 jobs while reorganizing its"
0,could help the interim government #39;s efforts to calm rebel-held strongholds before elections due in January.
0,"AFP - US Secretary of State Colin Powell will visit Japan, China and South Korea beginning next week for talks on the stalled effort to end the impasse over North"
1,"NO SPECTATORS will be watching in the ground, but the eyes of Europe will be trained on Romes Olympic Stadium tonight as Real Madrid seek the win they"
1,"AP - David Greene threw for a career-high 382 yards and two touchdowns, Thomas Brown"
3,AP - United Microelectronics Corp. #151; the world's No. 2 producer of made-to-order chips #151; on Wednesday reported that its third-quarter net profit more than doubled on
2,"AccountingWEB.com - October 06, 2004 - The opening of a trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway"
0,Canadian Press - TOKYO (AP) - Japan's economy barely grew during the quarter ending Sept. 30 and in the April-June period it actually shrank instead
2,"WASHINGTON - Employers stepped up hiring in August,"
3,"Zastrossi writes quot;According to the Anti-Phishing Working Group, phishing sites--the practice of making sites that look and act like popular sites such as banks in order"
0,The Israeli army sealed off Gaza Strip Wednesday by shutting
2,"NEW YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said the U.S. Justice Department has closed an inquiry into"
3,"Geneva - Worldwide sales of industrial robots surged to record levels in the first half of 2004 after equipment prices fell while labour costs grew, the United Nations"
0,A prominent Mexican journalist known
3,"For the past few years, viruses have attacked Microsoft #39;s"
0,"Reuters - A Paris court watched on Friday a\surveillance video shot by Islamic militants plotting to bomb a\Strasbourg market, in which a commentator"
2,Howard Stern will leave a very different company than the Infinity Broadcasting
0,"AFP - Microsoft said it will join with India's second-largest software firm, Infosys"
