label,text
1,"Panthers back (Sports running injured Davis being CHARLOTTE, - the Stephen season miss the remainder on placed Network) after Saturday. will of reserve Carolina N.C."
0,"they Wednesday (Reuters) PRESENTACION, Philippine had ""prisoners as rebuild two soldiers peace confidence for talks they of the Philippines more government. five held saying - wanted war"" rebels communist with to freed in than months,"
3,"the SAN plans installment launch game franchise -Ubisoft, one of for November - Sony world entertainment publishers, the announced the 30, system computer CA next the video in to Clancy 2004 Rainbow SixR FRANCISCO, largest its #39;s PlayStationR2 Tom #39;s today"
1,a spun New MA and the VETTORI brink of crushing at to over in DANIEL Aziz the second the today. Test Bangladesh Zealand victory Stadium in Chittagong final
0,"trying Georgian storm reported wounded. forces South breakaway - Georgian other of AFP to positions other side's region be and Georgia's each the Ossetian of Ossetia, South as accused soldiers were four to overnight in"
3,Hewlett-Packard a signed network widespread #39;s transfer sell S2io adapters start-up companies from the today that can times has 10 data than standard. faster deal say to
1,of Sorenstam in a manage a level-par Tour Annika Championship maintain lead. 72 ADT day Florida three was but on one-stroke it the could only enough to
1,strained - at right withdrew semifinal her on Championships shoulder. Advanta Saturday Sharapova with from a AP the Maria
0,"The Nations bring enclave and the the war the of failed Ponte Bosnia-Herzegovina to Security Carla have suspects to governments United Prosecutor tribunal, Del Serb Council. Chief Serbia told crimes Bosnian of"
2,"The help that up reported automakers sales, products nation two largest November confidence both #39;s new momentum. on weak would them but pick Wednesday expressed"
0,"KABUL, Dec 8 their in Renaud (AFP) spring, French NATO-led not scale in - minister before elections back troops the presence country junior will foreign war-torn said Wednesday. Afghanistan Muselier parliamentary next"
3,"the MP3 Network and bit (Sony mp3 play has 512MB two 1GB NW-E95 has files screen. Walkman. Both Sony compressed and officially and ATRAC3plus players, small bullet) and launched Europe NW-E99 the have a tiny MP3 backlit LCD blue"
2,"the reorganizing America Bank 4,500 its to least option jobs bank while at structure. cut of when reduces not is first time This the an has jobs."
0,"he help the strongholds out to in Sheikh colleague, government after before elections efforts #39;s January. rebel-held Sudani, of Thursday. Mahmoud could got on jail due interim calm"
0,"stalled AFP the matters, Japan, State of Powell for US impasse China and visit next said. to beginning nuclear Secretary on other program, Iraq, over end effort the will North Korea's week South terrorism the and Colin - talks State Korea Department"
1,"as watching Romes SPECTATORS they be the Real but the trained of will avoid early to Champions in Olympic Europe ground, be humiliating, eyes win will the NO probably need Madrid seek a on League. exit from the tonight Stadium"
1,"AP career-high David 382 and - a 20-14. for Brown touchdowns, threw No. yards yards rushed for and 10 Greene two Thomas off held Georgia Arkansas 107"
3,on AP on Corp. chips #151; chips United - that producer 2 made-to-order phones #151; shipments the its as increased. third-quarter net more doubled Microelectronics of Wednesday gadgets reported mobile of year for No. world's and other profit than
2,"AccountingWEB.com bid featured 06, statements misleading opening Craig of making for related to fired a takeover about The of 2004 - PeopleSoft that - October revelation CEO #39;s last week the trial was Conway #39;s PeopleSoft Oracle sales."
0,"period Press the in and - Japan's it barely quarter TOKYO revised during ending economy - Sept. out data Canadian of Wednesday. 30 actually instead government released the slight growth, grew April-June according (AP) shrank to squeezing"
2,"WASHINGTON hiring by and up expanding stepped lowering unemployment in payrolls 144,000 rate August, Employers the 5.4 to - percent."
