label,text
1," ChARLOTtE, n.C. (SpORTs NETWorK) - CArOLiNA paNtheRs  RuNniNG BAck stEPheN DAVIS WilL Miss The rEmaiNdEr oF thE  SEasON afteR bEiNG PLAcEd oN InJurEd ResERvE SaTurdAY."
0," PreseNTAcION, pHilippInes (reuTErs) - phiLIPPiNE coMMunIsT  RebelS fREEd WEDNesdaY Two SOLDieRS They HAd hElD as ""priSoNErS  oF waR"" fOr moRe THaN Five MoNTHS, SaYInG tHEy waNTEd to  REbUiLD cOnfideNCe In Peace tALKS With thE goVernmENT."
3,"San fraNCIscO, ca - NoVEmBER 30, 2004 -ubisOFt, onE of ThE wOrld #39;s LarGesT VIdeo gaME pUbLisheRS, todAY aNNOuncEd ItS PlANs to lAunCh The nExt inSTALlMENt in THe tOm CLAnCy #39;s raiNBow sIxR frANCHisE fOR tHE Sony pLAystatiOnr2 COmpUTER EntERtAinMEnt sYsTEM "
1,daniel VEttoRi sPun New zEaLAnD To the BRInK OF A CRUSHING vICTory oVER banGLaDEsh iN THe seconD aNd FiNal TESt At THe mA AZIz STAdIuM iN chItTagONg TODay.
0,"AFP - GeORgiAN And SOuTh oSSetIan ForCEs OvErNiGht acCUsEd eaCH otheR OF tryInG tO storm tHe OThER SiDE'S posiTIons IN geORGIa's BrEAkAway REgioN Of sOUtH OssEtia, AS FOur GeoRgIAn sOldiers wEre REPORted to be wOuNdED."
3,HEWlEtT-pACKaRD HAs Signed A Deal to sELL nETworK ADapTErs fROM Start-UP s2io THaT the COmpANIES sAY CAn TrANsfer dAta 10 TimeS FaSTer THan toDAY #39;S WiDESpREaD sTANDARD.
1,aNnIkA SorENstaM Could onLy mAnaGe A leveL-PAR 72 on Day tHReE of THe adt TOUR ChampiOnSHIp in FlorIdA But IT waS ENoUGH to MAinTaIN a oNe-sTRoKE lEad.
1,aP - maRIa SHArAPoVa wITHDRew fROm hER sEMIfinAl at ThE aDvantA CHampIoNshIps oN SATuRDAy WITH A STrAINED RIgHt ShouLDEr.
0,"tHe gOVeRNMENts OF SeRBiA anD THe BoSniAN sErB ENCLave OF bOSNiA-heRzeGOvINA hAve FaIled TO BRing waR CRImeS susPECtS to The uNItEd nAtIoNS triBUnAL, cHIef pROSecutOr caRLA DEL PONTE tOLd THE secuRITy coUncIl."
2,"tHE NAtIoN #39;s two LaRgeSt AUToMAKeRS on WedNesDAY repOrTeD weaK nOveMbEr salES, But bOTh EXpREsSED coNFIdENCe tHAT nEw ProductS WOUlD heLp tHEM pICk uP momEntUM."
0,"KaBuL, DEC 8 (Afp) - natO-LeD TrOoPs iN afGhANIstaN WiLl Not sCALE baCk tHEIR prEsENcE BEfORE PaRliameNtARy eleCTIONs In The WAr-toRn COunTRY NEXT SPRiNg, FReNCH JUNIoR FOREIGN MinISTEr RenAUD mUSELiER SAiD wEdnESDAy."
3,"SOnY EUroPe has lAuncHed TWO tiny 512mB anD 1Gb mP3 PLAYeRs, ThE nw-e95 aND Nw-E99 netwOrk walkMan. bOth PlAY mp3 (sonY has oFfIcIallY BiT The mP3 BUlLEt) and AtrAc3PlUS COMpResSED fiLEs aND HaVe A SMAlL bLue BAckLiT LCd sCreen."
2,"BaNk oF ameriCa haS aN oPtion To CuT At lEaSt 4,500 JobS WhILe REORganIZinG ItS stRUCTurE. thIS is noT tHE FIrst TiME WheN THE bank RedUCEs Jobs."
0,"coulD HElp the InTeRiM goveRnMEnt #39;s efFOrtS to cALm rEBel-HelD sTRONghOLds bEFOre ElECTIonS dUE In jANUARy. cOlleAGUe, sHEIKH mAHMoud SuDANI, aFTer He GoT oUt Of JaIL oN thURSdAy."
0,"AFp - US SecREtAry of sTaTe coLin pOwELl wiLL viSit JapAN, chiNA ANd South koRea BEginniNg neXt WEeK FOR TAlKS ON The StAlLed eFFoRt TO eND tHE ImpaSSE over NorTH korEA's nUCLeaR PROGRAm, IRaQ, TerrOrIsm AND OThEr MATTerS, The sTATe DepaRtMENT SaiD."
1,"NO SpEctaTORs Will BE watChing iN tHE gRoUND, bUT THE EYeS OF EUrOpE wILl bE TraiNED oN ROmeS oLyMpIc STadIUM tOnIGht as REAL mADrId sEEk THe wiN ThEY PRObaBLy NEED to AVOid a HuMIliATing, eARLY exit FROm THe chAMpIOns lEAguE."
1,"AP - DAViD grEENE tHrEw fOR a CaReEr-HiGH 382 yaRds AnD tWo ToUcHDoWnS, THOMas broWn RUShEd fOr 107 yards AnD NO. 10 georGIA hElD OFF ArkaNsAS 20-14."
3,aP - UNIted MiCROELectronIcs CoRP.  #151; ThE World's nO. 2 PRoDUcEr OF MADE-tO-ORdeR chIpS  #151; On WeDNesdAY reported tHAt its ThirD-QuaRter net PROfiT mOre tHan dOUBled On YEar as sHIpMENts OF Chips foR MOBIlE PhONeS anD oTher gADGets inCREaSed.
2,"aCcoUNtINgwEB.cOm - ocToBER 06, 2004 - tHE OpeNInG oF a tRIal rELaTeD To oraCLe #39;S TAKeover biD Of PEopLesoft feaTuRed The ReveLation THaT CeO cRaig conWAy WAs FirEd LaST WeEk foR MaKing MISLeADING StaTEmeNTs ABouT PEoPLesoFT #39;S sales."
0,"CAnAdiAN pREss - TOkYO (ap) - japAn'S eCoNOmY barely grew duRiNG THE qUARteR Ending SEPt. 30 AnD iN The APrIL-june period It aCtualLY sHRANk inSTEAd of SqUEEziNg oUT SlIGHT GRoWtH, ACCORDING To rEviSeD govErnMENt DaTa ReLEaSEd wEDnesday."
2,"WaShiNGton - eMPlOYERs Stepped UP HiriNG IN AuguSt, EXpAnDIng PAyROlls by 144,000 AnD Lowering the UNEMPLOyMENT Rate TO 5.4 PeRceNT."
3,"zAsTrOssi wrIteS  qUot;aCCoRDIng To tHE AnTi-pHIsHIng workInG GrOUp, phiShING SiTeS--The prACtICe of makIng sITeS that loOK aND Act LIkE PopUlar SITES SuCh AS banKS in ORdeR to STEAL pERsONAl informaTiON frOM CuStoMErs--rOSe FroM 543 SITES in sepTEmber tO "
0,tHe IsraEli ArMy SeaLeD OFf GAZa stRIP wEDnEsDAY bY sHuTtIng doWN ErEz cRoSsinG and The InDuSTRIAl ZoNe aNd PREvENtEd palesTINiaNS froM lEaving.
2," new york (REUTERs) - moNsanTO cO. &lT;A HREf=""HtTp://wwW.inVeSTor.REutErS.cOM/FUlLQuOTE.ASpx?tICker=MoN.n tarGEt=/STocKS/qUIckINFO/FUlLQuoTe""&GT;MON.N&LT;/A&gt; oN WeDNesDay SaiD  thE U.s. juSTicE depArTMENT HaS closeD an INQuIry InTo  PotEnTiaL ANtiTRust iSSUes REGARdIng a KEY iNGReDiEnt USeD iN  iTS RouNDup HerBiCIDe."
3,"GeNEvA - WorLDWIdE SALES oF inDusTrIaL rOboTs suRged To rEcOrD LeVELS In tHE FirSt hAlf of 2004 AfTER EquiPMeNT PrIcES fELL WHILe lABouR COsts GRew, The uNIted NAtioNs economIc cOmMISsIon for EURope saiD in a repOrT tO bE reLeASeD TODAy."
0,A prOmInent mEXICan JOurnALiSt KNoWN fOr his RepORts on ORgANIseD  crime iS KILlED On ThE us BordER.
