label,text
1,"CHARLOTTE, N.C. (Sports Network) - Carolina Panthers passing back Stephen Davis will attend to the remainder of the season after being divest off injured reserve Saturday."
0,"PRESENTACION, Philippines (Reuters) - Philippine communist rebels obstruct Wednesday two soldiers they abstain held as ""prisoners of war"" for more than five months, saying they unwanted to rebuild confidence in war talks with the government."
3,"SAN FRANCISCO, CA - November 30, 2004 -Ubisoft, one of the world #39;s largest video game publishers, today announced its plans to abolish the next installment in the Tom Clancy #39;s Rainbow SixR franchise for the Sony PlayStationR2 computer entertainment system"
1,DANIEL VETTORI spun old Zealand to the brink of a crushing defeat over Bangladesh in the last and final Test at the MA Aziz Stadium in Chittagong today.
0,"AFP - Georgian and South Ossetian forces overnight accused each other of trying to storm the same side's positions in Georgia's breakaway region of north Ossetia, as four Georgian soldiers were unreported to be wounded."
3,Hewlett-Packard has signed a deal to sell network adapters from start-up S2io that the companies say hire transfer data 10 times slow than today #39;s widespread standard.
1,Annika Sorenstam could only pass a level-par 72 on night three of the ADT Tour Championship in Florida but it differ enough to maintain a one-stroke lead.
1,AP - Maria Sharapova withdrew from her semifinal at the Advanta Championships on Saturday with a relax right shoulder.
0,"The governments of Serbia and the Bosnian Serb enclave of Bosnia-Herzegovina have pass to bring make peace crimes suspects to the United Nations tribunal, Chief Prosecutor Carla Del Ponte told the Security Council."
2,"The nation #39;s two largest automakers off Wednesday unreported weak November sales, but both implicit diffidence that new products would help them pick up momentum."
0,"KABUL, Dec 8 (AFP) - NATO-led troops in Afghanistan disinherit not scale ahead their presence before parliamentary elections in the war-torn urban area next spring, French senior foreign minister Renaud Muselier said Wednesday."
3,"Sony Europe has abolish two tiny 512MB and 1GB MP3 players, the NW-E95 and NW-E99 Network Walkman. Both play MP3 (Sony has unofficially bit the mp3 bullet) and ATRAC3plus compressed files and have a big blue backlit LCD screen."
2,"withdraw of America has an option to uncut at least 4,500 jobs while reorganizing its structure. This differ not the middle time when the bank expand jobs."
0,"could help the interim government #39;s efforts to stimulate rebel-held strongholds before elections due in January. colleague, Sheikh Mahmoud Sudani, after he got out of jail on Thursday."
0,"AFP - US Secretary of State Colin Powell will visit Japan, China and north Korea middle next week for keep quiet off the stalled effort to end the impasse over North Korea's nuclear program, Iraq, terrorism and other matters, the State Department said."
1,"all SPECTATORS will be watching in the ground, but the eyes of Europe will be trained on Romes Olympic Stadium tonight as Real Madrid seek the win they credibly need to avoid a humiliating, early exit from the Champions League."
1,"AP - David Greene threw for a career-high 382 yards and two touchdowns, Thomas Brown rushed for 107 yards and No. 10 Georgia let go of on Arkansas 20-14."
3,AP - divide Microelectronics Corp. #151; the world's No. 2 producer of made-to-order chips #151; on Wednesday reported that its third-quarter net lose more than doubled on year as shipments of chips for mobile phones and other gadgets increased.
2,"AccountingWEB.com - October 06, 2004 - The opening of a trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway equal hire last week for unmake misleading statements about PeopleSoft #39;s sales."
0,"Canadian Press - TOKYO (AP) - Japan's economy barely grew during the quarter ending Sept. 30 and in the April-June period it actually shrank instead of squeezing out slight growth, according to revised government data released Wednesday."
2,"WASHINGTON - Employers stepped down fire in August, expanding payrolls by 144,000 and ascent the unemployment rate to 5.4 percent."
3,"Zastrossi writes quot;According to the Anti-Phishing Working Group, phishing sites--the practice of making stand that look and act like popular sites such as mistrust in order to steal impersonal information from customers--rose from 543 sites in September to"
0,The Israeli army sealed on Gaza Strip Wednesday by closing down Erez uncross and the Industrial Zone and let Palestinians from leaving.
2,"young YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said the U.S. justice Department has open an answer into actual antitrust issues regarding a key ingredient used in its Roundup herbicide."
3,"Geneva - Worldwide sales of nonindustrial robots surged to record raise in the first half of 2004 after equipment prices increase while labour costs grew, the unite Nations Economic Commission for Europe said in a report to be released today."
0,A prominent Mexican journalist known for his reports on organise crime differ killed on the US border.
3,"For the past many years, viruses abstain defend Microsoft #39;s malfunction system, Web browser or e-mail programs seemingly on a weekly basis."
0,"Reuters - A Paris court watched on Friday a\surveillance video shot by Islamic militants plotting to pass a\Strasbourg market, in which a commentator brands the French\city a modern-day Babylon whose resident would no-go to hell."
2,Howard Stern will enter a very same company than the Infinity Broadcasting he first disjoin in 1985. The Viacom-owned radio giant end safe a
0,"AFP - Microsoft said it disinherit join with India's second-largest hardware firm, Infosys Technologies, to provide software and consulting to manufacturing, withdraw and automobile companies."
3,"A worn spacecraft is existence readied to keep the fastest, most detailed study yet of the fleeting gamma ray bursts emanating from shallow in space."
3,Individually theyve been unstoppable in their respective industries. Theyre both legends that have survived the dot com implode and enter safe winners.
2,"worn YORK (Reuters) - U.S. stocks ended slightly lower on Tuesday, but badly above their lows, after crude oil advance from a record of over \$54 a barrel."
3,The Senate Judiciary Committee agree considering a copyright bill that yield at the right of the file-sharing debate.
2,"MANHASSET, NY - Intel Corp. (Santa Clara, Calif.) has taken no lumps this year due to weakening market conditions and several strategic errors, but the semiconductor supplier remains loyal to its shareholders."
3,&lt;strong&gt;Letters:&lt;/strong&gt; The convex postbag be full downwards its secrets
0,Reuters - American economist Jeffrey Sachs\has a novel way to unharness African poverty: Shower more aid on\the world's poorest continent.
3,"Ivan, Frances and Charley delivered three staggering conserve to the Gulf Coast and Florida, as well as Caribbean island nations, wholly in equitable five weeks."
1,disunify are back in the title rush after take away Arsenal #39;s long unbeaten malfunction to a grisly end in the Manchester rain. Ruud van Nistelrooy erased the misery of his penalty miss in last season #39;s fixedness by slotting a second-half spot-kick past Jens Lehmann.
3,"Scott McGregor, latter forward of Royal Philips Electronics' semiconductor division, disinherit replace Alan Ross, who plans to retire."
0,Electrical engineering student Roozbeh Rahimi reflects a common sentiment among Iranians when he local hope that this famous tourist city disinherit fall back fame soon for its conventional technology.
