label,text
1,"CHARLOTTE, N.C. (Sports Network) - Carolina jaguar running back Stephen Davys volition girl the remainder of the season after being put option on injure modesty Saturday."
0,"PRESENTACION, Philippines (Reuters) - Philippine Communist Rebel free Wednesday two soldiers they have support arsenic ""prisoners of war"" for More than five months, saying they desire to rebuild confidence inch peace negotiation with the government."
3,"SAN FRANCISCO, calcium - November 30, 2004 -Ubisoft, one of the universe #39;s largest video game publishers, today announced information technology plans to launch the following installment inch the Tom Clancy #39;s rainbow SixR franchise for the Sony PlayStationR2 computer entertainment system"
1,DANIEL VETTORI spin new Zealand to the brink of a suppression victory over Bangladesh inch the second and final trial astatine the ma Aziz stadium in Chittagong today.
0,"alpha fetoprotein - Georgian and South Ossetian force nightlong accused each other of trying to storm the other side's position inch Georgia's breakaway region of South Ossetia, as four Georgian soldier be reported to be wounded."
3,Hewlett-Packard hour angle signed angstrom deal to sell network organizer from start-up S2io that the company say can transfer data ten times fast than today #39;s widespread standard.
1,Annika Sorenstam could lone pull off a level-par seventy-two on day three of the ADT tour championship in Florida but information technology Washington enough to support angstrom one-stroke lead.
1,AP - mare Sharapova withdraw from her semifinal at the Advanta championship on Saturday with angstrom endeavor right shoulder.
0,"The governments of Serbia and the Bosnian Serbian enclave of Bosnia and Herzegovina rich person fail to bring war crime suspect to the unite Nations tribunal, head prosecutor Carla Del Ponte state the security Council."
2,"The state #39;s two large car manufacturer on Wednesday report weak November sales, merely both express assurance that new merchandise would aid them pick up momentum."
0,"KABUL, Dec eight (AFP) - NATO-led military personnel in Afghanistan volition not scale back their presence before parliamentary election inch the war-torn country following spring, French junior foreign curate Renaud Muselier said Wednesday."
3,"Sony Europe has launched two tiny 512MB and 1GB MP3 players, the NW-E95 and NW-E99 network Walkman. Both play MP3 (Sony has officially spot the mp3 bullet) and ATRAC3plus compress file and rich person a small blue backlit liquid crystal display screen."
2,"bank of United States hour angle Associate in Nursing option to cut at least 4,500 occupation while reorganize its structure. This beryllium not the first time when the bank reduce jobs."
0,"could help the interim government #39;s attempt to calm rebel-held strongholds earlier elections due inch January. colleague, sheik Mahmoud Sudani, after helium get out of jail on Thursday."
0,"alpha fetoprotein - United States secretary of state Colin Powell volition visit Japan, China and South Korea beginning next week for negotiation on the procrastinate effort to end the deadlock over North Korea's nuclear program, Iraq, terrorism and other matters, the State department said."
1,"NO spectator will beryllium observation inch the ground, but the eyes of Europe volition beryllium trained on Rome Olympic stadium tonight arsenic real number Madrid seek the win they probably need to avoid angstrom humiliating, early exit from the champion League."
1,"AP - David Greene throw for angstrom career-high 382 yards and two touchdowns, Thomas Brown rush for 107 yard and ordinal number ten Georgia keep off Arkansas 20-14."
3,AP - unite Microelectronics Corp. #151; the world's No. two manufacturer of custom-made chips #151; on Wednesday reported that its third-quarter net net income More than double on year arsenic cargo of french fries for Mobile telephone and other appliance increased.
2,"AccountingWEB.com - October 06, 2004 - The opening of angstrom trial related to prophet #39;s coup d'etat bid of PeopleSoft rich person the disclosure that CEO Craig Conway was open fire stopping point week for making mislead statements about PeopleSoft #39;s sales."
0,"Canadian imperativeness - Tokyo (AP) - Japan's economy barely turn during the one-fourth ending Sept. thirty and in the April-June time period information technology actually shrivel instead of squeezing out slight growth, according to revised government data let go of Wednesday."
2,"Washington - employer measure up hire in August, expand payroll by 144,000 and lowering the unemployment rate to 5.4 percent."
3,"Zastrossi write quot;According to the Anti-Phishing working Group, phishing sites--the practice of making site that expression and act like popular site such arsenic Banks inch order to steal personal information from customers--rose from 543 site in September to"
0,The Israeli army seal off Gaza Strip strip Wednesday by shutting down Erez crossing and the industrial zone and prevent Palestinian from leaving.
2,"new York (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said the U.S. justice department has close Associate in Nursing inquiry into potential antimonopoly issues regarding angstrom key ingredient used in information technology roundup herbicide."
