label,text
1,"CHARLOTTE, N.C. (Sports Network) - Carolina Panthers running back Stephen Davis will miss the remainder of"
0,"PRESENTACION, Philippines (Reuters) - Philippine communist rebels freed Wednesday two soldiers they had held as ""prisoners of war"" for more than five months, saying they wanted"
3,"SAN FRANCISCO, CA - November 30, 2004 -Ubisoft, one of the world #39;s largest video game publishers, today announced its plans to launch the next installment in the Tom Clancy #39;s Rainbow"
1,DANIEL VETTORI spun New Zealand to the brink of a crushing victory over Bangladesh in the second and final
0,"AFP - Georgian and South Ossetian forces overnight accused each other of trying to storm the other side's positions in Georgia's breakaway region of South Ossetia,"
3,Hewlett-Packard has signed a deal to sell network adapters from start-up S2io that the companies say can transfer
1,Annika Sorenstam could only manage a level-par 72 on day three of the ADT Tour Championship in Florida
1,AP - Maria Sharapova withdrew from her semifinal at the
0,"The governments of Serbia and the Bosnian Serb enclave of Bosnia-Herzegovina have failed to bring war crimes suspects to the United Nations tribunal,"
2,"The nation #39;s two largest automakers on Wednesday reported weak November sales, but both expressed confidence"
0,"KABUL, Dec 8 (AFP) - NATO-led troops in Afghanistan will not scale back their presence before parliamentary elections in the war-torn country next"
3,"Sony Europe has launched two tiny 512MB and 1GB MP3 players, the NW-E95 and NW-E99 Network Walkman. Both play MP3 (Sony has officially bit the mp3 bullet) and ATRAC3plus compressed"
2,"Bank of America has an option to cut at least 4,500 jobs while reorganizing its structure. This is"
0,"could help the interim government #39;s efforts to calm rebel-held strongholds before elections due in January. colleague, Sheikh Mahmoud"
0,"AFP - US Secretary of State Colin Powell will visit Japan, China and South Korea beginning next week for talks on the stalled effort to end the impasse over North Korea's nuclear program,"
1,"NO SPECTATORS will be watching in the ground, but the eyes of Europe will be trained on Romes Olympic Stadium tonight as Real Madrid seek the win they probably need to"
1,"AP - David Greene threw for a career-high 382 yards and two touchdowns, Thomas Brown rushed for 107"
3,AP - United Microelectronics Corp. #151; the world's No. 2 producer of made-to-order chips #151; on Wednesday reported that its third-quarter net profit more than doubled on year as shipments
2,"AccountingWEB.com - October 06, 2004 - The opening of a trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last"
0,Canadian Press - TOKYO (AP) - Japan's economy barely grew during the quarter ending Sept. 30 and in the April-June period it actually shrank instead of squeezing out
2,"WASHINGTON - Employers stepped up hiring in August, expanding payrolls by"
3,"Zastrossi writes quot;According to the Anti-Phishing Working Group, phishing sites--the practice of making sites that look and act like popular sites such as banks in order to steal personal"
0,The Israeli army sealed off Gaza Strip Wednesday by shutting down Erez Crossing
2,"NEW YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said the U.S. Justice Department has closed an inquiry into potential antitrust issues"
3,"Geneva - Worldwide sales of industrial robots surged to record levels in the first half of 2004 after equipment prices fell while labour costs grew, the United Nations Economic Commission for"
0,A prominent Mexican journalist known for his reports
3,"For the past few years, viruses have attacked Microsoft #39;s operating system, Web"
0,"Reuters - A Paris court watched on Friday a\surveillance video shot by Islamic militants plotting to bomb a\Strasbourg market, in which a commentator brands the French\city"
2,Howard Stern will leave a very different company than the Infinity Broadcasting he first joined
0,"AFP - Microsoft said it will join with India's second-largest software firm, Infosys Technologies, to provide"
3,"A new spacecraft is being readied to make the fastest, most detailed study yet of the"
3,Individually theyve been unstoppable in their respective industries. Theyre both legends that have
2,"NEW YORK (Reuters) - U.S. stocks ended slightly lower on Tuesday, but well above their lows, after crude oil"
3,The Senate Judiciary Committee is considering a copyright bill
2,"MANHASSET, NY - Intel Corp. (Santa Clara, Calif.) has taken some lumps this year due to weakening market conditions and several strategic errors,"
3,&lt;strong&gt;Letters:&lt;/strong&gt;
0,Reuters - American economist Jeffrey Sachs\has a novel way to tackle
3,"Ivan, Frances and Charley delivered three staggering blows to the Gulf Coast and Florida, as well"
1,United are back in the title race after bringing Arsenal #39;s long unbeaten run to a grisly end in the Manchester rain. Ruud van Nistelrooy erased the misery of his penalty miss in last season #39;s
3,"Scott McGregor, former head of Royal Philips Electronics' semiconductor"
0,Electrical engineering student Roozbeh Rahimi reflects a common sentiment among Iranians when he expresses hope that this famous tourist
2,"REDWOOD SHORES, Calif. Investors continue to bet today that most PeopleSoft shareholders will back Oracle #39;s"
0,"Premier Yu Shyi-Kun hopes economic ties to the mainland will guarantee peace. If not, quot;Taiwan"
1,Indianapolis' loss to New England in the A.F.C. championship game in January will have an impact on officiating
2,"European leaders have been making false claims in a commercial-aircraft trade dispute pitting Boeing Co. (BA.N: Quote, Profile, Research) against its Europe-based rival Airbus,"
1,Liverpool captain Steven Gerrard believes he is ready to make his comeback against
0,JERUSALEM (Reuters) - Israel's parliament took extraordinary security steps Wednesday for a vote next week on a Gaza pullout plan expected to spark Jewish settler protests
1,David Bellion scored 19 seconds after the opening kickoff as Manchester United #39;s backup team edged Arsenal #39;s youngsters 1-0 on Wednesday
2,"The Senate cleared a path on Sunday for a bill to hand out about \$140 billion in corporate tax breaks, but it was blocked from a final vote by a fight over a"
3,"Reuters - Fears of a new El Nino, a phenomenon\that brings extreme weather patterns, are unfounded despite\unusual ocean temperatures which often"
0,"Ayman al- Zawahiri, second in command of al-Qaida, said last night that the US faced defeat in Iraq and Afghanistan. In a videotape broadcast by"
3,"A leading Japanese electronics company is developing memory cards that can be used to make cashless payments,"
1,"Great Britain #39;s Amir Khan, who looked so impressive in winning the 132-pound championship at the Junior International Invitational Boxing Championships here last summer, has a chance for"
2,"NEW YORK, September 22 (newratings.com) - A witness in the first Enron criminal trial, and a former executive at the company, testified today that she believed that the Enron executives now on trial were"
1,ROME : Juventus extended their lead at the top of Serie A to six points after they scraped a 1-0 home win over Fiorentina and closest rivals AC
3,"quot;NVIDIA and Intel Corporation announced that the companies have signed a broad, multi-year patent"
2,"Aircraft maker Airbus insisted on Thursday it had no intention of taking sides in a Microsoft antitrust case, even though it filed a brief in"
0,Producer prices surged 1.7 percent in
3,PC World -
3,Oracle target adds \$2.6 million to bottom
0,KABUL -- Two US soldiers died and another was injured when a bomb ripped through their patrol in southern Afghanistan yesterday. The troops were attacked near Deh
1,HEARTS UEFA Cup adventure may have been derailed in Rotterdam but coach Craig Levein can take comfort from the fact he has
1,"For years, Shawsheen Tech and Greater Lowell have battled"
3,"The Java Studio Enterprise 7 platform, available now, offers a collaboration feature called Code-Aware that allows distributed teams of developers in different buildings and"
3,"Nokia has forecast that smartphone shipments worldwide are expected to increase to 238 million units by 2008, up from 23 million this year, according to Anssi Vanjoki, executive"
2,"CONSUMER goods maker Colgate-Palmolive said today it would cut about 12 per cent of its 37,000-person work force and close a third of"
