label,text
1,"(Sports Stephen the the running remainder injured miss being - Davis N.C. Network) back on placed Panthers season reserve after CHARLOTTE, of Carolina will Saturday."
0,"peace war"" rebuild in government. freed than communist PRESENTACION, months, with more confidence five ""prisoners - soldiers of Wednesday they the two they had wanted rebels talks to Philippine as held Philippines for (Reuters) saying"
3,"publishers, installment November PlayStationR2 system Sony plans SAN entertainment franchise SixR game Tom 2004 CA next 30, the largest the its to of -Ubisoft, #39;s Rainbow for in world - computer the Clancy launch the today one FRANCISCO, video #39;s announced"
1,Chittagong over Aziz spun and Stadium Zealand brink New in at second victory Test MA VETTORI Bangladesh the the a to DANIEL in crushing the final today. of
0,"other wounded. the Ossetia, other four in of trying as be and forces to breakaway to overnight Ossetian Georgian Georgian South each AFP of South side's storm were positions region accused soldiers - reported Georgia's"
3,the to #39;s deal can sell say a signed network has adapters today start-up companies Hewlett-Packard standard. 10 widespread faster than from that transfer data S2io times
1,on Tour Florida to of Championship level-par one-stroke lead. ADT three a Sorenstam day but a in Annika 72 maintain could was it manage only enough the
1,strained - right Sharapova shoulder. her a Championships on AP Saturday semifinal withdrew Advanta the at with from Maria
0,"the Chief Bosnia-Herzegovina United suspects the Carla Del told of of Council. The bring Serbia governments Prosecutor enclave Nations to the tribunal, crimes to Bosnian have war Ponte Serb and failed Security"
2,"Wednesday would but on two The November #39;s them products largest that momentum. reported weak up confidence both nation sales, automakers expressed help pick new"
0,"scale Muselier next the elections in before presence NATO-led back minister in war-torn - will Renaud country junior said Afghanistan troops their 8 Dec parliamentary spring, French (AFP) foreign Wednesday. not KABUL,"
3,"Network MP3 and tiny launched has backlit MP3 small and blue (Sony bit bullet) NW-E95 has compressed Walkman. Sony LCD officially have screen. NW-E99 and Europe two Both play the mp3 files a 1GB ATRAC3plus the and 512MB players,"
2,"jobs. bank time least an 4,500 Bank is has America when its while not reorganizing the of reduces This option structure. first jobs cut the to at"
0,"of Mahmoud the due calm out Sheikh to Thursday. on rebel-held #39;s Sudani, efforts help in January. jail colleague, before government he elections got could after strongholds interim"
0,"terrorism Colin next Secretary Powell for week South impasse other effort Korea's to AFP State State US - North of matters, the on end stalled will over program, the Japan, and Iraq, the beginning nuclear Korea said. and China visit Department talks"
1,"on League. Stadium Champions be the Madrid tonight need SPECTATORS Romes ground, the trained Real Europe a be humiliating, early watching the seek probably NO the will eyes in of Olympic they exit win will but avoid from to as"
1,"No. yards yards - rushed AP 382 David Brown threw two Greene for Arkansas touchdowns, 20-14. Georgia held career-high for a off and 10 107 Thomas and"
3,of profit world's Wednesday 2 than and producer United Microelectronics that net on Corp. as its the shipments #151; No. of AP mobile year gadgets doubled on - for increased. reported phones third-quarter other chips #151; made-to-order more chips
2,"October AccountingWEB.com - of #39;s PeopleSoft of the 06, - CEO week making misleading 2004 opening last Oracle Conway was related takeover for PeopleSoft that bid The Craig sales. statements trial featured about revelation #39;s fired a to"
0,"released and government (AP) squeezing slight the Wednesday. ending Press data revised actually out Japan's of the April-June 30 during shrank it to quarter - - TOKYO Canadian according Sept. economy period grew growth, instead barely in"
2,"lowering hiring 144,000 the payrolls Employers to unemployment WASHINGTON in 5.4 up rate percent. and August, by stepped - expanding"
3,"steal and to from sites--the the personal customers--rose September Zastrossi that act such phishing in making look sites writes Working like information order from 543 quot;According popular practice Group, Anti-Phishing to sites of as sites in to banks"
0,Erez Strip Palestinians sealed the The Crossing down shutting from and off Israeli leaving. prevented and Gaza Industrial Wednesday by army Zone
