label,text
1,"CHARLOTTE,       N.C.  (SportsNetwork) -       Carolina      Panthers  running        back Stephen       Davis    will          miss      the   remainder of  the    season    after     being  placed       on        injured     reserve     Saturday."
0,"PRESENTACION,         Philippines    (Reuters)         -     Philippine   communist    rebels       freed         Wed       nesday    two soldiers     they   had       held    as     ""prisoners         of          war""        for   more        than     f          ive    months, saying     they      wanted      to rebuild      confidence          in          peace    talks  with      the        government."
3,"SAN  FRANCISCO,  CA -    November  30,        2004    -Ubisoft,  one        of  the      world #39;s      largest      video  game          publishers,         today         ann  ounced      its          plans to        launch          the  next    installment      in       the         Tom      Clancy         #39;s  Rainbow         SixR  franchise     for    the  Sony    PlayStationR2          computer         entertainment     system"
1,DANIEL VETTORI        spun     New  Zeala      nd      to      the   brink   of       a        crushing      victory         over     Bangladesh       in         the        second    and  final       Test         at   the     MA         Aziz         Stadium        in        Chittagong  today.
0,"AFP      -  Georgian and South       Ossetian     forces       overnight     accusedeach        other       of      trying     to      storm         the  other side's  positions     in       Georgia's    breakaway       region      of   South          Ossetia,    as       four         Georgian        soldiers      were    reported    to     be          wounded."
3,Hewlett-Packardhas         signed a   deal          to   sell     network   adapters  from      start- up       S2io      that     the     companies        say        can         transfer    data         10    times   faster      than      today    #39;s         widespread      standard.
1,Annika      Sorenstam  could          only          manage    a     level-par       72  onday     three  ofthe      ADT          Tour    Championship       in    Florida       but        it        was          enough       to    maintain       a      one-stroke       lead.
1,AP -        M       aria         Sharapova      withdrew    from      her          semifi    nal       at  the      Advanta     Championships     on       Saturday       with   a         strained          right          shoulder.
0,"The       governments          of     Serbia   and          the        Bosnian        Serb      enclave     of       Bosnia-Herzegovina         have failed    to    bring war     crimes suspects    to   theUnited     Nations tribunal,     Chief      Prosecutor Carla       Del         Ponte          told    theSecurity Council."
2,"The     nation  #39;s       two      largest          automake          rs       on  Wednesday       reported       weak       November sales,      but          both       expressed          confidence  that       new     products     would          help         them      pick       up     momentum."
0,"KABUL, Dec     8   (AFP)         -   NATO-led         troops         in   Afghanistan         will          not scale  back          their   presence    before         parliamentary      elections          in      the    war-torn   country   next     spring, French       junior   foreignminister       Renaud        Museliersaid  Wednesday."
3,"Sony         Europe       has  launched     two       tiny  512MB       and   1GB  MP3   players,        the     NW-E95          and         NW-E99        Netw    ork      Walkman.        Both play   MP3      (Sony      has        officially        bit     the     mp3         bullet)       and    ATRAC3plus         compressed    files     and    have      a         small         blue         backlit         LCD        screen."
2,"Bank          of   America        has     an        option   to   cut        at          least        4,500        jobs   while  reorganizing       its         structure.This          is      not       the        first  time      when    the         bank    reduces   jobs."
0,"could          help   the      interim       government#39;s    effortsto calm      rebel-held          strongholds          before     elections      due        in          January.       colleague, Sheikh  Mahmoud          Sudani,     after       he got     out         of    jail  on       Thursday."
0,"AFP  -   US    Secretary of   State      ColinPowell     will visit       Japan,  China          and  South        Korea       beginning    next       week for         talks   on   the   stalled         effort    to    end    the    impasse       over        North  Korea's   nuclear      program,          Iraq,   terrorism  and     other      matters,        the        State       Department said."
1,"NO       SPECTATORS          will          be    watching in         the      ground,   but         the   eyes of       Europe     will   be      trained   on    Romes   Olympic         Stadium  tonight         as     RealMadrid seek        the     win    they     probably          needto avoid      a        humiliating,    early  exit       from the          Champions    League."
1,"AP -      David Greene  threw     for         a career-high 382  yards and        two touchdowns,          Thomas        Brown     rushed for    107         yards        and        No. 10      Georgia          held    off       A      rkansas       20-14."
3,AP       -          United      Microelectronics  Corp.   #151;         the     world's      No.  2     producer          of          made-to-order        chips       #151;         on       Wednesday    reported that its        third-quarter     net       profit     more         than    doubled  on     year         as        shipments   of    chips     for      mobilephones         and        other         gadgets        increased.
2,"AccountingWEB.com -          October     06,       2004  -         The     opening     of a      trial     related       to     Oracle       #39;s  takeover     bid   of   PeopleSoft  featured   the       revelation  that  CEO     Craig  Conway          was fired        last week   for   making   misleading          statements   about        PeopleSoft    #39;s         sales."
0,"Canadian  Press          -TOKYO        (AP)       -        Japan's        economy  barely grew during the    quarter          ending Sept.   30        and        in       the          April-June period       it    actually       shrank          instead   ofsqueezing      out slight         growth,      according to       revised   government    data   released     Wednesday."
2,"WASHINGTON      -       Employers          stepped          up    hiring   in August,          expanding    payrolls    by         144,000    and         lowering         theunemployment  ra     te  to        5.4  percent."
3,"Zastrossi     writes        quot;According     to    the     Anti-Phishing         Working      Group,   phishingsites--the      practice    of    making    sites that     look  and   act  like         popular       sites      such      as      banks    in  order     to     steal         personal    information       from        custome         rs--rose    from     543       sites    in     September     to"
0,The        Israeli   army          sealed   off         Gaza   Strip Wednesday   by     shutting       down        Erez      Crossing  and         the Industrial          Zone         and    prevented     Palestinians        from     leaving.
2,"NEW  YORK   (Reuters)    -       Monsanto          Co.          &lt;A      HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N     target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt;       on    Wednesday     said the      U.S.         Justice  Department     has       closed        an          inquiry into potential         antitrust       issues       regarding       a       key   ingredient      used    in          its          Roundup    herbicide."
3,"Geneva        -          Worldwide         sales        of    industrial     robots      surged     to      record       levels     in  the         first       half   of        2004       after  equipment       prices   fell   while     labour  costs    grew,       the        United Nations        EconomicCommission      for  Eur  ope  said     in     a          report     to be        released       today."
0,A   prominent Mexican    journalist known         for         his     rep          orts        on     organised crime    is killed          on       the    US       border.
3,"For the        past   few     years,         viruses      have    attacked          Microsoft     #39;s       operating     system,  Webbrowser        or    e-mail        programsseemingly on       a  weekly      basis."
0,"Reuters - A    Paris         court     watched       on Friday       a\surveillance      video shot          by         Islamic   militants      plotting to bomb       a\Strasbourg   market,         in         which   a   commentator brands       theFrench\city   a        modern-day       Babylon     whose    residents  would    go   to    hell."
2,Howard      Stern         will    leave         a  very di      fferent        company      than the    Infinity     Broadcasting  he         first    joined    in       1985.The        Viacom-owned          radio        giant     started        out        a
0,"AFP    -       Microsoft       said    it will          join        with       India'ssecond-largest     software    firm,          Infosys    Technologies,      to        provide          software        and consulting to       manufacturing, banking   and   automobile       companies."
3,"A        new     spacecraft       is     being readied    to  make        the   fastest,         most    detailed     study yet of      the fleeting   gamma      ray      bursts      emanatingfrom        deep      in   spa        ce."
3,Individually         theyve    been   unstoppable       in th eir      respective          industries.          Theyre both  legends      that         have     survived    the     dot          com       burst        and   came out       winners.
2,"NEW       YORK       (Reuters)     -         U.S.          stocks ended    slightly      lower          on   Tuesday,   but  well          above      their     lows,       after     crudeoil     retreated       from         a   record     of  over   \$54   a         barrel."
3,The       Senate          Judiciary       Committee        is        considering         acopyright          bill   that      stands         at       the   center        of       the     file-sharing        debate.
2,"MANHASSET,      NY         -          Intel       Corp.        (Santa Clara,         Calif.) has   taken          some        lumps   this       year          due     to     weakening      market          conditions  and  several strategic        errors, but     the  semiconductor         supplier      remains   loyal to its  shareholders."
3,&lt;strong&gt;Letters:&lt;/strong&gt;        The     bulgingpostbag    gives          up      its          secrets
0,Reuters     - American  economist   Jeffrey          Sachs\has        a          novel way       to   tackle    African   poverty:          Shower      m          ore    aid        on\the          world's   poorest        continent.
