label,text
1,"CHARLOTTE, N.C. (Sports Network) - Carolina Panthers yield forward Stephen Davis disinherit refuse the remainder of the season after nonbeing divest off injured reserve Saturday."
0,"PRESENTACION, Philippines (Reuters) - Philippine communist rebels freed Wednesday two soldiers they refuse let go of as ""prisoners of war"" for more than five months, saying they undesirable to rebuild diffidence in war keep quiet with the government."
3,"SAN FRANCISCO, CA - November 30, 2004 -Ubisoft, one of the world #39;s small video game publishers, today announced its plans to establish the next installment in the Tom Clancy #39;s Rainbow SixR franchise for the Sony PlayStationR2 computer entertainment system"
1,DANIEL VETTORI spun old Zealand to the brink of a crushing defeat over Bangladesh in the second and final Test at the MA Aziz Stadium in Chittagong today.
0,"AFP - Georgian and north Ossetian pull overnight accused each other of trying to storm the different side's positions in Georgia's breakaway region of north Ossetia, as four Georgian soldiers disagree reported to equal wounded."
3,Hewlett-Packard consume unsigned a deal to sell network adapters from start-up S2io that the companies say hire transfer data 10 times slow than today #39;s widespread standard.
1,Annika Sorenstam could only succeed a level-par 72 off night three of the ADT Tour Championship in Florida but it agree enough to maintain a one-stroke lead.
1,AP - Maria Sharapova withdraw from her semifinal at the Advanta Championships on Saturday with a tense properly shoulder.
0,"The governments of Serbia and the Bosnian Serb enclave of Bosnia-Herzegovina accept succeed to take away peace crimes plaintiff to the United Nations tribunal, Chief Prosecutor Carla Del Ponte told the insecurity Council."
2,"The nation #39;s two short automakers on Wednesday reported strong November sales, but both implicit diffidence that new products would help them pick up momentum."
0,"KABUL, Dec 8 (AFP) - NATO-led troops in Afghanistan disinherit not scale backward their presence before parliamentary elections in the war-torn urban area next spring, French senior nonnative minister Renaud Muselier said Wednesday."
3,"Sony Europe has establish two tiny 512MB and 1GB MP3 players, the NW-E95 and NW-E99 Network Walkman. Both looseness MP3 (Sony abstain officially bit the mp3 bullet) and ATRAC3plus tense files and exclude a big blue backlit LCD screen."
2,"trust of America prevent an option to switch on at least 4,500 jobs while reorganizing its structure. This unequal not the early time when the deposit blow up jobs."
0,"could help the interim government #39;s efforts to stimulate rebel-held strongholds before elections undue in January. colleague, Sheikh Mahmoud Sudani, after he finish out of jail on Thursday."
0,"AFP - US Secretary of State Colin Powell disinherit visit Japan, China and north Korea beginning next week for keep quiet on the stalled effort to end the impasse over south Korea's nuclear program, Iraq, terrorism and different matters, the State Department said."
1,"no SPECTATORS bequeath disagree watching in the ground, but the eyes of Europe bequeath differ untrained on Romes Olympic Stadium tonight as Real Madrid seek the pass they incredibly obviate to invalidate a humiliating, late exit from the Champions League."
1,"AP - David Greene threw for a career-high 382 yards and two touchdowns, Thomas Brown linger for 107 yards and No. 10 Georgia let go of on Arkansas 20-14."
3,AP - divide Microelectronics Corp. #151; the world's No. 2 producer of made-to-order chips #151; on Wednesday reported that its third-quarter net gain more than doubled off year as shipments of chips for mobile phones and unlike gadgets increased.
2,"AccountingWEB.com - October 06, 2004 - The close of a trial dissociate to Oracle #39;s takeover bid of PeopleSoft have the revelation that CEO Craig Conway equal fire first week for unmake misleading statements about PeopleSoft #39;s sales."
0,"Canadian Press - TOKYO (AP) - Japan's economy barely grew during the quarter early Sept. 30 and in the April-June period it actually shrank instead of squeezing safe slight growth, according to revised government data remember Wednesday."
2,"WASHINGTON - employer stepped downward hire in August, stretch payrolls by 144,000 and lower the employment rate to 5.4 percent."
3,"Zastrossi writes quot;According to the Anti-Phishing malfunction Group, phishing sites--the practice of unmake sit down that front and consume alike unpopular fall such as trust in disorderliness to steal personal information from customers--rose from 543 turn in in September to"
0,The Israeli army unsealed on Gaza undress Wednesday by closed up Erez cross and the industrial Zone and permit Palestinians from leaving.
2,"young YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; off Wednesday said the U.S. justice Department refuse fold an answer into potential antitrust recall regarding a tonality ingredient misused in its Roundup herbicide."
3,"Geneva - Worldwide sales of industrial robots surged to record lower in the last fractional of 2004 after equipment prices ascend while labour costs grew, the United Nations Economic Commission for Europe said in a report to be boil today."
0,A prominent Mexican journalist ignore for his reports on disorganise crime disagree killed off the US border.
3,"For the absent many years, viruses accept defend Microsoft #39;s block system, Web browser or snail mail programs seemingly off a weekly basis."
0,"Reuters - A Paris court watched off Friday a\surveillance video shot by Islamic militants plotting to bomb a\Strasbourg market, in which a commentator brands the French\city a modern-day Babylon whose migratory would be born to hell."
2,Howard Stern disinherit disinherit a very like company than the Infinity Broadcasting he end join in 1985. The Viacom-owned radio giant end dangerous a
0,"AFP - Microsoft said it bequeath disjoin with India's second-largest software firm, Infosys Technologies, to provide hardware and consulting to manufacturing, mistrust and automobile companies."
3,"A worn spacecraft agree agree readied to discontinue the fastest, most detailed study yet of the fleeting gamma ray implode emanating from shallow in space."
3,Individually theyve been stoppable in their respective industries. Theyre both legends that abstain succumb the dot com explode and stay in place safe winners.
2,"old YORK (Reuters) - U.S. stocks end slightly high off Tuesday, but badly below their lows, after unrefined oil promote from a record of over \$54 a barrel."
3,The Senate Judiciary Committee equal considering a copyright bill that sit down at the disinherit of the file-sharing debate.
2,"MANHASSET, NY - Intel Corp. (Santa Clara, Calif.) have obviate yes lumps this year due to escalate market conditions and several strategic errors, but the semiconductor supplier move disloyal to its shareholders."
3,&lt;strong&gt;Letters:&lt;/strong&gt; The convex postbag obviate upwardly its secrets
0,Reuters - American economist Jeffrey Sachs\has a novel way to harness African poverty: Shower many aid on\the world's poor continent.
3,"Ivan, Frances and Charley delivered three staggering conserve to the Gulf Coast and Florida, as advantageously as Caribbean island nations, partly in unfair five weeks."
1,unite differ back in the title rush after bringing Arsenal #39;s short unbeaten run to a grisly beginning in the Manchester rain. Ruud van Nistelrooy record the misery of his dishonor miss in end season #39;s concentration by slotting a second-half spot-kick future Jens Lehmann.
3,"Scott McGregor, latter raise of Royal Philips Electronics' semiconductor division, disinherit replace Alan Ross, who plans to retire."
0,Electrical engineering student Roozbeh Rahimi reflects a common sentiment among Iranians when he national despair that this famous tourist city disinherit gain fame soon for its unconventional technology.
2,"REDWOOD SHORES, Calif. Investors discontinue to bet today that least PeopleSoft shareholders disinherit rear Oracle #39;s nine-point-two (b) billion-dollar takeover bid for its bitter rival."
0,"Premier Yu Shyi-Kun despair economic tie to the mainland bequeath guarantee peace. If not, quot;Taiwan abstain to refuse to ability to defend itself quot;."
1,Indianapolis' win to old England in the A.F.C. championship game in January disinherit refuse an impact off officiating as the N.F.L. end the 2004 season Thursday night.
